row,agro_cols,host_cols,agro_seas,climate_cols,covariate,importance
7,1,1,1,0,Number.of.NHP.species,0.00338321408143934
8,0,0,0,1,Number.of.NHP.species,
9,1,0,0,1,Number.of.NHP.species,
10,0,1,0,1,Number.of.NHP.species,0.00889670568291139
11,1,1,0,1,Number.of.NHP.species,0.00752405240385655
12,0,0,1,1,Number.of.NHP.species,
13,1,0,1,1,Number.of.NHP.species,
14,0,1,1,1,Number.of.NHP.species,0.00423443657978739
15,1,1,1,1,Number.of.NHP.species,0.00426818719234826
1,1,0,0,0,Logarithm.of.total.population,
2,0,1,0,0,Logarithm.of.total.population,0.00114477823211105
3,1,1,0,0,Logarithm.of.total.population,0.000930426334831926
4,0,0,1,0,Logarithm.of.total.population,
5,1,0,1,0,Logarithm.of.total.population,
6,0,1,1,0,Logarithm.of.total.population,0.00135734667100407
7,1,1,1,0,Logarithm.of.total.population,0.00416635683527336
8,0,0,0,1,Logarithm.of.total.population,
9,1,0,0,1,Logarithm.of.total.population,
10,0,1,0,1,Logarithm.of.total.population,0.00436469456163396
11,1,1,0,1,Logarithm.of.total.population,0.00479089820149222
12,0,0,1,1,Logarithm.of.total.population,
13,1,0,1,1,Logarithm.of.total.population,
14,0,1,1,1,Logarithm.of.total.population,0.00273397610127298
15,1,1,1,1,Logarithm.of.total.population,0.00311345708999786
1,1,0,0,0,Wheat.planting,
2,0,1,0,0,Wheat.planting,
3,1,1,0,0,Wheat.planting,
4,0,0,1,0,Wheat.planting,5.37030161814195e-06
5,1,0,1,0,Wheat.planting,6.39573519073372e-05
6,0,1,1,0,Wheat.planting,-8.68582977059385e-08
7,1,1,1,0,Wheat.planting,2.77729906669527e-05
8,0,0,0,1,Wheat.planting,
9,1,0,0,1,Wheat.planting,
10,0,1,0,1,Wheat.planting,
11,1,1,0,1,Wheat.planting,
12,0,0,1,1,Wheat.planting,0.000253894655994747
13,1,0,1,1,Wheat.planting,9.54830768828491e-05
14,0,1,1,1,Wheat.planting,0.000129472272614807
15,1,1,1,1,Wheat.planting,8.64475067918541e-05
1,1,0,0,0,Wheat.harvesting,
2,0,1,0,0,Wheat.harvesting,
3,1,1,0,0,Wheat.harvesting,
4,0,0,1,0,Wheat.harvesting,3.71660368229693e-06
5,1,0,1,0,Wheat.harvesting,5.3005865291173e-05
6,0,1,1,0,Wheat.harvesting,5.25670738034695e-06
7,1,1,1,0,Wheat.harvesting,3.96590008918066e-05
8,0,0,0,1,Wheat.harvesting,
9,1,0,0,1,Wheat.harvesting,
10,0,1,0,1,Wheat.harvesting,
11,1,1,0,1,Wheat.harvesting,
12,0,0,1,1,Wheat.harvesting,0.000262513418889608
13,1,0,1,1,Wheat.harvesting,0.000201666490453187
14,0,1,1,1,Wheat.harvesting,0.000154908296335404
15,1,1,1,1,Wheat.harvesting,6.02657696600153e-05
1,1,0,0,0,Bean.planting,
2,0,1,0,0,Bean.planting,
3,1,1,0,0,Bean.planting,
4,0,0,1,0,Bean.planting,0.000698774481986881
5,1,0,1,0,Bean.planting,0.00151229092266392
6,0,1,1,0,Bean.planting,0.000597610130974832
7,1,1,1,0,Bean.planting,0.00124364911651234
8,0,0,0,1,Bean.planting,
9,1,0,0,1,Bean.planting,
10,0,1,0,1,Bean.planting,
11,1,1,0,1,Bean.planting,
12,0,0,1,1,Bean.planting,0.00146707368122083
13,1,0,1,1,Bean.planting,0.000918922739497071
14,0,1,1,1,Bean.planting,0.000930460932839605
15,1,1,1,1,Bean.planting,0.000743040322560099
1,1,0,0,0,Bean.harvesting,
2,0,1,0,0,Bean.harvesting,
3,1,1,0,0,Bean.harvesting,
4,0,0,1,0,Bean.harvesting,0.000132351418820219
5,1,0,1,0,Bean.harvesting,0.00100492302821459
6,0,1,1,0,Bean.harvesting,0.000413804186374117
7,1,1,1,0,Bean.harvesting,0.000858304673620804
8,0,0,0,1,Bean.harvesting,
9,1,0,0,1,Bean.harvesting,
10,0,1,0,1,Bean.harvesting,
11,1,1,0,1,Bean.harvesting,
12,0,0,1,1,Bean.harvesting,0.00191705155771203
13,1,0,1,1,Bean.harvesting,0.00104351662010576
14,0,1,1,1,Bean.harvesting,0.00124042689552096
15,1,1,1,1,Bean.harvesting,0.000938299101171803
1,1,0,0,0,Corn.planting,
2,0,1,0,0,Corn.planting,
3,1,1,0,0,Corn.planting,
4,0,0,1,0,Corn.planting,0.000992719778319374
5,1,0,1,0,Corn.planting,0.00151813491788883
6,0,1,1,0,Corn.planting,0.000619217556614033
7,1,1,1,0,Corn.planting,0.00108399754479154
8,0,0,0,1,Corn.planting,
9,1,0,0,1,Corn.planting,
10,0,1,0,1,Corn.planting,
11,1,1,0,1,Corn.planting,
12,0,0,1,1,Corn.planting,0.00225295313650272
13,1,0,1,1,Corn.planting,0.00157946273652454
14,0,1,1,1,Corn.planting,0.001113391858514
15,1,1,1,1,Corn.planting,0.0010590229525499
1,1,0,0,0,Corn.harvesting,
2,0,1,0,0,Corn.harvesting,
3,1,1,0,0,Corn.harvesting,
4,0,0,1,0,Corn.harvesting,0.000218248179596495
5,1,0,1,0,Corn.harvesting,0.00149344475791182
6,0,1,1,0,Corn.harvesting,0.000453074910208437
7,1,1,1,0,Corn.harvesting,0.00114265170712016
8,0,0,0,1,Corn.harvesting,
9,1,0,0,1,Corn.harvesting,
10,0,1,0,1,Corn.harvesting,
11,1,1,0,1,Corn.harvesting,
12,0,0,1,1,Corn.harvesting,0.00331421941480873
13,1,0,1,1,Corn.harvesting,0.00234237845748542
14,0,1,1,1,Corn.harvesting,0.00219192433847954
15,1,1,1,1,Corn.harvesting,0.00161147726195364
1,1,0,0,0,Rice.planting,
2,0,1,0,0,Rice.planting,
3,1,1,0,0,Rice.planting,
4,0,0,1,0,Rice.planting,0.000143675261597016
5,1,0,1,0,Rice.planting,0.000963316420936999
6,0,1,1,0,Rice.planting,0.00047626335942072
7,1,1,1,0,Rice.planting,0.000961224178531532
8,0,0,0,1,Rice.planting,
9,1,0,0,1,Rice.planting,
10,0,1,0,1,Rice.planting,
11,1,1,0,1,Rice.planting,
12,0,0,1,1,Rice.planting,0.00220329822529451
13,1,0,1,1,Rice.planting,0.0019332086832398
14,0,1,1,1,Rice.planting,0.00139445274392874
15,1,1,1,1,Rice.planting,0.00142537542242278
1,1,0,0,0,Rice.harvesting,
2,0,1,0,0,Rice.harvesting,
3,1,1,0,0,Rice.harvesting,
4,0,0,1,0,Rice.harvesting,0.000433272707506608
5,1,0,1,0,Rice.harvesting,0.00220408219248845
6,0,1,1,0,Rice.harvesting,0.000985231084515937
7,1,1,1,0,Rice.harvesting,0.00217712070365046
8,0,0,0,1,Rice.harvesting,
9,1,0,0,1,Rice.harvesting,
10,0,1,0,1,Rice.harvesting,
11,1,1,0,1,Rice.harvesting,
12,0,0,1,1,Rice.harvesting,0.00685365969300875
13,1,0,1,1,Rice.harvesting,0.00526383834810844
14,0,1,1,1,Rice.harvesting,0.00475390391548475
15,1,1,1,1,Rice.harvesting,0.00393175090978487
1,1,0,0,0,Peanut.planting,
2,0,1,0,0,Peanut.planting,
3,1,1,0,0,Peanut.planting,
4,0,0,1,0,Peanut.planting,0.000253227211280519
5,1,0,1,0,Peanut.planting,0.00153280259605469
6,0,1,1,0,Peanut.planting,0.000808267445399167
7,1,1,1,0,Peanut.planting,0.00160412079209442
8,0,0,0,1,Peanut.planting,
9,1,0,0,1,Peanut.planting,
10,0,1,0,1,Peanut.planting,
11,1,1,0,1,Peanut.planting,
12,0,0,1,1,Peanut.planting,0.00233493649342307
13,1,0,1,1,Peanut.planting,0.00241171389270046
14,0,1,1,1,Peanut.planting,0.0021148319477124
15,1,1,1,1,Peanut.planting,0.0023319590196416
1,1,0,0,0,Peanut.harvesting,
2,0,1,0,0,Peanut.harvesting,
3,1,1,0,0,Peanut.harvesting,
4,0,0,1,0,Peanut.harvesting,0.000194320120844545
5,1,0,1,0,Peanut.harvesting,0.00136336725803836
6,0,1,1,0,Peanut.harvesting,0.000553889051265158
7,1,1,1,0,Peanut.harvesting,0.00144495254715169
8,0,0,0,1,Peanut.harvesting,
9,1,0,0,1,Peanut.harvesting,
10,0,1,0,1,Peanut.harvesting,
11,1,1,0,1,Peanut.harvesting,
12,0,0,1,1,Peanut.harvesting,0.00334000675014716
13,1,0,1,1,Peanut.harvesting,0.0026166361017706
14,0,1,1,1,Peanut.harvesting,0.00217972479763247
15,1,1,1,1,Peanut.harvesting,0.00185835888300523
1,1,0,0,0,Castor.bean.planting,
2,0,1,0,0,Castor.bean.planting,
3,1,1,0,0,Castor.bean.planting,
4,0,0,1,0,Castor.bean.planting,1.40898444068435e-05
5,1,0,1,0,Castor.bean.planting,0.000169408141390644
6,0,1,1,0,Castor.bean.planting,6.85779703225273e-05
7,1,1,1,0,Castor.bean.planting,0.000242563765749859
8,0,0,0,1,Castor.bean.planting,
9,1,0,0,1,Castor.bean.planting,
10,0,1,0,1,Castor.bean.planting,
11,1,1,0,1,Castor.bean.planting,
12,0,0,1,1,Castor.bean.planting,0.000224284335953476
13,1,0,1,1,Castor.bean.planting,0.000194965647639749
14,0,1,1,1,Castor.bean.planting,0.000258039265718449
15,1,1,1,1,Castor.bean.planting,0.000201126224231128
1,1,0,0,0,Castor.bean.harvesting,
2,0,1,0,0,Castor.bean.harvesting,
3,1,1,0,0,Castor.bean.harvesting,
4,0,0,1,0,Castor.bean.harvesting,4.56263823039096e-05
5,1,0,1,0,Castor.bean.harvesting,0.00026510756058821
6,0,1,1,0,Castor.bean.harvesting,0.000164609406313411
7,1,1,1,0,Castor.bean.harvesting,0.000280639136520342
8,0,0,0,1,Castor.bean.harvesting,
9,1,0,0,1,Castor.bean.harvesting,
10,0,1,0,1,Castor.bean.harvesting,
11,1,1,0,1,Castor.bean.harvesting,
12,0,0,1,1,Castor.bean.harvesting,0.000578033798907268
13,1,0,1,1,Castor.bean.harvesting,0.000486255607667735
14,0,1,1,1,Castor.bean.harvesting,0.000466863760105603
15,1,1,1,1,Castor.bean.harvesting,0.000366022926429624
1,1,0,0,0,Sorghum.planting,
2,0,1,0,0,Sorghum.planting,
3,1,1,0,0,Sorghum.planting,
4,0,0,1,0,Sorghum.planting,5.45019447436393e-05
5,1,0,1,0,Sorghum.planting,2.14824620591306e-05
6,0,1,1,0,Sorghum.planting,0.000138546230435907
7,1,1,1,0,Sorghum.planting,0.000125708477284083
8,0,0,0,1,Sorghum.planting,
9,1,0,0,1,Sorghum.planting,
10,0,1,0,1,Sorghum.planting,
11,1,1,0,1,Sorghum.planting,
12,0,0,1,1,Sorghum.planting,0.000380819997673449
13,1,0,1,1,Sorghum.planting,0.000266877091922124
14,0,1,1,1,Sorghum.planting,0.000408826849580226
15,1,1,1,1,Sorghum.planting,0.000293732486252992
1,1,0,0,0,Sorghum.harvesting,
2,0,1,0,0,Sorghum.harvesting,
3,1,1,0,0,Sorghum.harvesting,
4,0,0,1,0,Sorghum.harvesting,0.000171312260596821
5,1,0,1,0,Sorghum.harvesting,0.00060256710139417
6,0,1,1,0,Sorghum.harvesting,0.000135051717147798
7,1,1,1,0,Sorghum.harvesting,0.000552432166099654
8,0,0,0,1,Sorghum.harvesting,
9,1,0,0,1,Sorghum.harvesting,
10,0,1,0,1,Sorghum.harvesting,
11,1,1,0,1,Sorghum.harvesting,
12,0,0,1,1,Sorghum.harvesting,0.000663093831906902
13,1,0,1,1,Sorghum.harvesting,0.00073059858495371
14,0,1,1,1,Sorghum.harvesting,0.000716688666571587
15,1,1,1,1,Sorghum.harvesting,0.000677662917080003
1,1,0,0,0,Soya.planting,
2,0,1,0,0,Soya.planting,
3,1,1,0,0,Soya.planting,
4,0,0,1,0,Soya.planting,7.2626953573684e-05
5,1,0,1,0,Soya.planting,7.81836113727252e-05
6,0,1,1,0,Soya.planting,5.75938266617987e-05
7,1,1,1,0,Soya.planting,7.74318544014388e-05
8,0,0,0,1,Soya.planting,
9,1,0,0,1,Soya.planting,
10,0,1,0,1,Soya.planting,
11,1,1,0,1,Soya.planting,
12,0,0,1,1,Soya.planting,0.000280608106712047
13,1,0,1,1,Soya.planting,0.000171290612838388
14,0,1,1,1,Soya.planting,0.000150433125818195
15,1,1,1,1,Soya.planting,0.000121158685971582
1,1,0,0,0,Soya.harvesting,
2,0,1,0,0,Soya.harvesting,
3,1,1,0,0,Soya.harvesting,
4,0,0,1,0,Soya.harvesting,1.80567363606338e-05
5,1,0,1,0,Soya.harvesting,0.000203561938155254
6,0,1,1,0,Soya.harvesting,5.71381644277683e-05
7,1,1,1,0,Soya.harvesting,0.000147042402122275
8,0,0,0,1,Soya.harvesting,
9,1,0,0,1,Soya.harvesting,
10,0,1,0,1,Soya.harvesting,
11,1,1,0,1,Soya.harvesting,
12,0,0,1,1,Soya.harvesting,0.000586472632170103
13,1,0,1,1,Soya.harvesting,0.000419999496000574
14,0,1,1,1,Soya.harvesting,0.000351766358260199
15,1,1,1,1,Soya.harvesting,0.000231977777799756
1,1,0,0,0,Rainfall,
2,0,1,0,0,Rainfall,
3,1,1,0,0,Rainfall,
4,0,0,1,0,Rainfall,
5,1,0,1,0,Rainfall,
6,0,1,1,0,Rainfall,
7,1,1,1,0,Rainfall,
8,0,0,0,1,Rainfall,0.00453308689511867
9,1,0,0,1,Rainfall,0.0103745234951816
10,0,1,0,1,Rainfall,0.00771941579071442
11,1,1,0,1,Rainfall,0.00806996181016314
12,0,0,1,1,Rainfall,0.00878936016527558
13,1,0,1,1,Rainfall,0.00878843665793829
14,0,1,1,1,Rainfall,0.00662433650687419
15,1,1,1,1,Rainfall,0.0070620995123688
1,1,0,0,0,Day.temperature,
2,0,1,0,0,Day.temperature,
3,1,1,0,0,Day.temperature,
4,0,0,1,0,Day.temperature,
5,1,0,1,0,Day.temperature,
6,0,1,1,0,Day.temperature,
7,1,1,1,0,Day.temperature,
8,0,0,0,1,Day.temperature,0.0108753368755448
9,1,0,0,1,Day.temperature,0.0174628942810577
10,0,1,0,1,Day.temperature,0.0155444643249901
11,1,1,0,1,Day.temperature,0.0112951074712744
12,0,0,1,1,Day.temperature,0.0138566456669374
13,1,0,1,1,Day.temperature,0.009114587974598
14,0,1,1,1,Day.temperature,0.0085120525740809
15,1,1,1,1,Day.temperature,0.00698563637948585
1,1,0,0,0,Night.temperature,
2,0,1,0,0,Night.temperature,
3,1,1,0,0,Night.temperature,
4,0,0,1,0,Night.temperature,
5,1,0,1,0,Night.temperature,
6,0,1,1,0,Night.temperature,
7,1,1,1,0,Night.temperature,
8,0,0,0,1,Night.temperature,0.0104933341416478
9,1,0,0,1,Night.temperature,0.0165050034421568
10,0,1,0,1,Night.temperature,0.0200358847143566
11,1,1,0,1,Night.temperature,0.0152209674793277
12,0,0,1,1,Night.temperature,0.0119820987609426
13,1,0,1,1,Night.temperature,0.00894444153376708
14,0,1,1,1,Night.temperature,0.00978952388199238
15,1,1,1,1,Night.temperature,0.00831954715504556
1,1,0,0,0,Diurnal.Nocturnal.temperature.range,
2,0,1,0,0,Diurnal.Nocturnal.temperature.range,
3,1,1,0,0,Diurnal.Nocturnal.temperature.range,
4,0,0,1,0,Diurnal.Nocturnal.temperature.range,
5,1,0,1,0,Diurnal.Nocturnal.temperature.range,
6,0,1,1,0,Diurnal.Nocturnal.temperature.range,
7,1,1,1,0,Diurnal.Nocturnal.temperature.range,
8,0,0,0,1,Diurnal.Nocturnal.temperature.range,0.00913736327390232
9,1,0,0,1,Diurnal.Nocturnal.temperature.range,0.01427265703049
10,0,1,0,1,Diurnal.Nocturnal.temperature.range,0.0170116366516335
11,1,1,0,1,Diurnal.Nocturnal.temperature.range,0.0118578724380296
12,0,0,1,1,Diurnal.Nocturnal.temperature.range,0.0113521472303684
13,1,0,1,1,Diurnal.Nocturnal.temperature.range,0.00775165967707791
14,0,1,1,1,Diurnal.Nocturnal.temperature.range,0.00788445080792334
15,1,1,1,1,Diurnal.Nocturnal.temperature.range,0.00644205661462882
1,1,0,0,0,EVI,
2,0,1,0,0,EVI,
3,1,1,0,0,EVI,
4,0,0,1,0,EVI,
5,1,0,1,0,EVI,
6,0,1,1,0,EVI,
7,1,1,1,0,EVI,
8,0,0,0,1,EVI,0.00440284695698312
9,1,0,0,1,EVI,0.00637337654314685
10,0,1,0,1,EVI,0.00708132350685171
11,1,1,0,1,EVI,0.00594172877379014
12,0,0,1,1,EVI,0.007641931568714
13,1,0,1,1,EVI,0.00494414754460591
14,0,1,1,1,EVI,0.00515456717569456
15,1,1,1,1,EVI,0.00440808532123414
1,1,0,0,0,Rainfall.delay.by.1.month,
2,0,1,0,0,Rainfall.delay.by.1.month,
3,1,1,0,0,Rainfall.delay.by.1.month,
4,0,0,1,0,Rainfall.delay.by.1.month,
5,1,0,1,0,Rainfall.delay.by.1.month,
6,0,1,1,0,Rainfall.delay.by.1.month,
7,1,1,1,0,Rainfall.delay.by.1.month,
8,0,0,0,1,Rainfall.delay.by.1.month,0.0116507966861232
9,1,0,0,1,Rainfall.delay.by.1.month,0.00601179602718534
10,0,1,0,1,Rainfall.delay.by.1.month,0.00852736734583916
11,1,1,0,1,Rainfall.delay.by.1.month,0.00472743733659225
12,0,0,1,1,Rainfall.delay.by.1.month,0.0056348590764336
13,1,0,1,1,Rainfall.delay.by.1.month,0.00363180691226628
14,0,1,1,1,Rainfall.delay.by.1.month,0.00439665459710862
15,1,1,1,1,Rainfall.delay.by.1.month,0.00324279799891874
1,1,0,0,0,Day.temperature.delay.by.1.month,
2,0,1,0,0,Day.temperature.delay.by.1.month,
3,1,1,0,0,Day.temperature.delay.by.1.month,
4,0,0,1,0,Day.temperature.delay.by.1.month,
5,1,0,1,0,Day.temperature.delay.by.1.month,
6,0,1,1,0,Day.temperature.delay.by.1.month,
7,1,1,1,0,Day.temperature.delay.by.1.month,
8,0,0,0,1,Day.temperature.delay.by.1.month,0.0168847958154519
9,1,0,0,1,Day.temperature.delay.by.1.month,0.00880098844343758
10,0,1,0,1,Day.temperature.delay.by.1.month,0.0110718462220128
11,1,1,0,1,Day.temperature.delay.by.1.month,0.0065397231446022
12,0,0,1,1,Day.temperature.delay.by.1.month,0.00963221693871142
13,1,0,1,1,Day.temperature.delay.by.1.month,0.00593694995302557
14,0,1,1,1,Day.temperature.delay.by.1.month,0.00772706530305666
15,1,1,1,1,Day.temperature.delay.by.1.month,0.0046392941464425
1,1,0,0,0,Night.temperature.delay.by.1.month,
2,0,1,0,0,Night.temperature.delay.by.1.month,
3,1,1,0,0,Night.temperature.delay.by.1.month,
4,0,0,1,0,Night.temperature.delay.by.1.month,
5,1,0,1,0,Night.temperature.delay.by.1.month,
6,0,1,1,0,Night.temperature.delay.by.1.month,
7,1,1,1,0,Night.temperature.delay.by.1.month,
8,0,0,0,1,Night.temperature.delay.by.1.month,0.0173224570367252
9,1,0,0,1,Night.temperature.delay.by.1.month,0.0113595174656178
10,0,1,0,1,Night.temperature.delay.by.1.month,0.0128810207901514
11,1,1,0,1,Night.temperature.delay.by.1.month,0.00909869658523231
12,0,0,1,1,Night.temperature.delay.by.1.month,0.00907345762236253
13,1,0,1,1,Night.temperature.delay.by.1.month,0.00631745932743485
14,0,1,1,1,Night.temperature.delay.by.1.month,0.00785055150795226
15,1,1,1,1,Night.temperature.delay.by.1.month,0.00506823417651099
1,1,0,0,0,Diurnal.Nocturnal.temperature.range.delay.by.1.month,
2,0,1,0,0,Diurnal.Nocturnal.temperature.range.delay.by.1.month,
3,1,1,0,0,Diurnal.Nocturnal.temperature.range.delay.by.1.month,
4,0,0,1,0,Diurnal.Nocturnal.temperature.range.delay.by.1.month,
5,1,0,1,0,Diurnal.Nocturnal.temperature.range.delay.by.1.month,
6,0,1,1,0,Diurnal.Nocturnal.temperature.range.delay.by.1.month,
7,1,1,1,0,Diurnal.Nocturnal.temperature.range.delay.by.1.month,
8,0,0,0,1,Diurnal.Nocturnal.temperature.range.delay.by.1.month,0.0138390052997619
9,1,0,0,1,Diurnal.Nocturnal.temperature.range.delay.by.1.month,0.00580899502036045
